SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent,Delta
2:24:43 pm,11:30:40 am,Call Butterfly,NSE:NIFTY2620325050CE,25050,CE,BUY,332.05,405.95,4803.50,22.26%,N/A
2:24:43 pm,11:31:09 am,Long Straddle,BSE:SENSEX2620582100CE,82100,CE,BUY,758.25,932.35,1741.00,22.96%,N/A
2:24:43 pm,11:31:16 am,Long Strangle,BSE:SENSEX2620582500CE,82500,CE,BUY,574.00,710.95,1369.50,23.86%,N/A
2:24:43 pm,11:31:23 am,Iron Butterfly,BSE:SENSEX2620582500CE,82500,CE,BUY,574.00,710.95,1369.50,23.86%,N/A
2:24:43 pm,11:31:27 am,Call Butterfly,BSE:SENSEX2620581700CE,81700,CE,BUY,990.20,1176.60,1864.00,18.82%,N/A
2:24:43 pm,11:31:27 am,Call Butterfly,BSE:SENSEX2620582500CE,82500,CE,BUY,574.00,710.95,1369.50,23.86%,N/A
2:24:43 pm,11:31:52 am,Short Straddle,NSE:BANKNIFTY26FEB59800CE,59800,CE,SELL,1017.25,995.00,667.50,2.19%,N/A
2:24:43 pm,11:31:57 am,Long Straddle,NSE:BANKNIFTY26FEB59800CE,59800,CE,BUY,1017.25,995.00,-667.50,-2.19%,N/A
2:24:43 pm,11:31:57 am,Long Straddle,NSE:BANKNIFTY26FEB59800PE,59800,PE,BUY,792.60,790.00,-78.00,-0.33%,N/A
2:24:43 pm,11:32:00 am,Short Strangle,NSE:BANKNIFTY26FEB60300CE,60300,CE,SELL,754.85,735.00,595.50,2.63%,N/A
2:24:43 pm,11:32:07 am,Long Strangle,NSE:BANKNIFTY26FEB59300PE,59300,PE,BUY,607.15,598.80,-250.50,-1.38%,N/A
2:24:43 pm,11:32:07 am,Long Strangle,NSE:BANKNIFTY26FEB60300CE,60300,CE,BUY,754.85,735.00,-595.50,-2.63%,N/A
2:24:43 pm,11:32:12 am,Iron Condor,NSE:BANKNIFTY26FEB58800PE,58800,PE,BUY,458.05,449.35,-261.00,-1.90%,N/A
2:24:43 pm,11:32:12 am,Iron Condor,NSE:BANKNIFTY26FEB60300CE,60300,CE,SELL,754.85,735.00,595.50,2.63%,N/A
2:24:43 pm,11:32:17 am,Iron Butterfly,NSE:BANKNIFTY26FEB59300PE,59300,PE,BUY,607.15,598.80,-250.50,-1.38%,N/A
2:24:43 pm,11:32:17 am,Iron Butterfly,NSE:BANKNIFTY26FEB59800CE,59800,CE,SELL,1017.25,995.00,667.50,2.19%,N/A
2:24:43 pm,11:32:17 am,Iron Butterfly,NSE:BANKNIFTY26FEB60300CE,60300,CE,BUY,754.85,735.00,-595.50,-2.63%,N/A
2:24:43 pm,11:32:21 am,Call Butterfly,NSE:BANKNIFTY26FEB59300CE,59300,CE,BUY,1323.60,1292.25,-940.50,-2.37%,N/A
2:24:43 pm,11:32:21 am,Call Butterfly,NSE:BANKNIFTY26FEB59800CE,59800,CE,SELL,1017.25,995.00,1335.00,2.19%,N/A
2:24:43 pm,11:32:21 am,Call Butterfly,NSE:BANKNIFTY26FEB60300CE,60300,CE,BUY,754.85,735.00,-595.50,-2.63%,N/A
2:24:43 pm,12:00:05 pm,Call Butterfly,NSE:NIFTY2620325050CE,25050,CE,BUY,335.00,405.95,4611.75,21.18%,N/A
