SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent,Delta
1:30:00 pm,11:32:18 am,Short Straddle,NSE:BANKNIFTY26FEB59600CE,59600,CE,SELL,1097.05,949.00,4441.50,13.50%,N/A
1:30:00 pm,11:32:18 am,Short Straddle,NSE:BANKNIFTY26FEB59600PE,59600,PE,SELL,780.70,880.00,-2979.00,-12.72%,N/A
1:30:00 pm,11:32:22 am,Long Straddle,NSE:BANKNIFTY26FEB59600CE,59600,CE,BUY,1097.05,949.00,-4441.50,-13.50%,N/A
1:30:00 pm,11:32:22 am,Long Straddle,NSE:BANKNIFTY26FEB59600PE,59600,PE,BUY,780.70,880.00,2979.00,12.72%,N/A
1:30:00 pm,11:32:26 am,Short Strangle,NSE:BANKNIFTY26FEB59100PE,59100,PE,SELL,601.50,676.85,-2260.50,-12.53%,N/A
1:30:00 pm,11:32:26 am,Short Strangle,NSE:BANKNIFTY26FEB60100CE,60100,CE,SELL,820.30,695.85,3733.50,15.17%,N/A
1:30:00 pm,11:32:30 am,Long Strangle,NSE:BANKNIFTY26FEB59100PE,59100,PE,BUY,601.50,676.85,2260.50,12.53%,N/A
1:30:00 pm,11:32:34 am,Iron Condor,NSE:BANKNIFTY26FEB59100PE,59100,PE,SELL,601.50,676.85,-2260.50,-12.53%,N/A
1:30:00 pm,11:32:34 am,Iron Condor,NSE:BANKNIFTY26FEB58600PE,58600,PE,BUY,459.75,515.00,1657.50,12.02%,N/A
1:30:00 pm,11:32:34 am,Iron Condor,NSE:BANKNIFTY26FEB60100CE,60100,CE,SELL,820.30,695.85,3733.50,15.17%,N/A
1:30:00 pm,11:32:38 am,Iron Butterfly,NSE:BANKNIFTY26FEB59100PE,59100,PE,BUY,601.50,676.85,2260.50,12.53%,N/A
1:30:00 pm,11:32:38 am,Iron Butterfly,NSE:BANKNIFTY26FEB59600PE,59600,PE,SELL,780.70,880.00,-2979.00,-12.72%,N/A
1:30:00 pm,11:32:38 am,Iron Butterfly,NSE:BANKNIFTY26FEB59600CE,59600,CE,SELL,1097.05,949.00,4441.50,13.50%,N/A
1:30:00 pm,11:32:42 am,Call Butterfly,NSE:BANKNIFTY26FEB59100CE,59100,CE,BUY,1410.00,1247.05,-4888.50,-11.56%,N/A
1:30:00 pm,11:32:42 am,Call Butterfly,NSE:BANKNIFTY26FEB59600CE,59600,CE,SELL,1097.05,949.00,8883.00,13.50%,N/A
