SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent,Delta
11:30:00 am,9:30:19 am,Short Straddle,NSE:NIFTY2620325300CE,25300,CE,SELL,200.40,195.25,334.75,2.57%,N/A
11:30:00 am,9:30:27 am,Short Strangle,NSE:NIFTY2620325500CE,25500,CE,SELL,114.25,110.55,240.50,3.24%,N/A
11:30:00 am,9:30:35 am,Iron Condor,NSE:NIFTY2620325500CE,25500,CE,SELL,114.25,110.55,240.50,3.24%,N/A
11:30:00 am,9:30:41 am,Iron Butterfly,NSE:NIFTY2620325300CE,25300,CE,SELL,200.40,195.25,334.75,2.57%,N/A
11:30:00 am,9:30:45 am,Call Butterfly,NSE:NIFTY2620325300CE,25300,CE,SELL,200.40,195.25,669.50,2.57%,N/A
11:30:00 am,9:30:58 am,Short Straddle,NSE:BANKNIFTY26FEB59400PE,59400,PE,SELL,742.00,645.60,2892.00,12.99%,N/A
11:30:00 am,9:31:02 am,Long Straddle,NSE:BANKNIFTY26FEB59400CE,59400,CE,BUY,1077.50,1249.45,5158.50,15.96%,N/A
11:30:00 am,9:31:02 am,Long Straddle,NSE:BANKNIFTY26FEB59400PE,59400,PE,BUY,742.00,645.60,-2892.00,-12.99%,N/A
11:30:00 am,9:31:05 am,Short Strangle,NSE:BANKNIFTY26FEB58900PE,58900,PE,SELL,564.30,489.15,2254.50,13.32%,N/A
11:30:00 am,9:31:08 am,Long Strangle,NSE:BANKNIFTY26FEB59900CE,59900,CE,BUY,795.05,954.00,4768.50,19.99%,N/A
11:30:00 am,9:31:12 am,Iron Condor,NSE:BANKNIFTY26FEB58900PE,58900,PE,SELL,564.30,489.15,2254.50,13.32%,N/A
11:30:00 am,9:31:12 am,Iron Condor,NSE:BANKNIFTY26FEB60400CE,60400,CE,BUY,575.50,695.50,3600.00,20.85%,N/A
11:30:00 am,9:31:16 am,Iron Butterfly,NSE:BANKNIFTY26FEB59400PE,59400,PE,SELL,742.00,645.60,2892.00,12.99%,N/A
11:30:00 am,9:31:16 am,Iron Butterfly,NSE:BANKNIFTY26FEB59900CE,59900,CE,BUY,795.05,954.00,4768.50,19.99%,N/A
11:30:00 am,9:31:20 am,Call Butterfly,NSE:BANKNIFTY26FEB58900CE,58900,CE,BUY,1372.45,1564.90,5773.50,14.02%,N/A
11:30:00 am,9:31:20 am,Call Butterfly,NSE:BANKNIFTY26FEB59900CE,59900,CE,BUY,795.05,954.00,4768.50,19.99%,N/A
